DAY,RECORD_NUMBER,MEAN_TEMP,HIGH_TEMP,HIGH_TEMP_TIME,LOW_TEMP,LOW_TEMP_TIME,MEAN_TEMP_15,HIGH_TEMP_15,HIGH_TEMP_15_TIME,LOW_TEMP_15,LOW_TEMP_15_TIME,HEAT_DEG_DAYS,COOL_DEG_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,HIGH_WIND_SPEED_TIME,DOM_DIR,MEAN_HUMID,HIGH_HUMID,HIGH_HUMID_TIME,LOW_HUMID,LOW_HUMID_TIME,MEAN_BAROM,HIGH_BAROM,HIGH_BAROM_TIME,LOW_BAROM,LOW_BAROM_TIME,MEAN_RADIATION,HIGH_RADIATION,HIGH_UV,GDD
01/01/15,1,"5,60","13,2",16:00:00,"0,6",07:35:00,N/A,N/A,N/A,N/A,N/A,"12,70","0,0","0,0","2,60","20,9",13:50:00,201,"83,47",95,03:15:00,55,15:50:00,"1034,6","1036,9",10:55:00,"1030,6",00:05:00,,,,"0,00"
02/01/15,2,"6,80","16,5",13:50:00,"0,2",07:50:00,N/A,N/A,N/A,N/A,N/A,"11,50","0,0","0,0","2,20","17,7",14:30:00,208,"68,10",95,00:10:00,27,12:45:00,"1036,7","1038,1",11:20:00,"1035,3",04:10:00,,,,"0,00"
03/01/15,3,"10,00","21,3",15:40:00,"2,8",07:55:00,N/A,N/A,N/A,N/A,N/A,"8,30","0,0","0,0","0,70","11,3",16:40:00,243,"53,62",76,00:50:00,22,14:55:00,1035,"1037,7",00:05:00,"1032,8",16:40:00,,,,"0,00"
04/01/15,4,"10,80","19,4",13:00:00,"5,0",23:50:00,N/A,N/A,N/A,N/A,N/A,"7,60","0,0","0,0","3,00","24,1",16:05:00,207,"65,67",94,23:25:00,38,12:20:00,"1031,7","1033,2",00:05:00,"1030,3",14:25:00,,,,"0,76"
05/01/15,5,"7,50","14,4",12:50:00,"3,1",08:35:00,N/A,N/A,N/A,N/A,N/A,"10,80","0,0","0,0","1,70","19,3",15:35:00,212,"86,90",97,22:50:00,67,11:15:00,"1030,6","1033,0",01:15:00,"1027,8",00:00:00,,,,"0,00"
06/01/15,6,"7,80","13,2",15:00:00,"1,8",09:00:00,N/A,N/A,N/A,N/A,N/A,"10,50","0,0","0,2","1,70","17,7",15:40:00,212,"92,69",98,07:35:00,77,14:40:00,1027,"1029,4",00:00:00,"1025,6",14:50:00,,,,"0,00"
07/01/15,7,"6,90","13,7",14:10:00,"2,1",09:05:00,N/A,N/A,N/A,N/A,N/A,"11,40","0,0","0,2","1,00","16,1",16:00:00,169,"88,29",98,03:10:00,62,14:00:00,"1031,7","1034,4",23:30:00,"1029,4",00:05:00,,,,"0,00"
08/01/15,8,"6,90","13,9",14:55:00,"1,6",08:10:00,N/A,N/A,N/A,N/A,N/A,"11,40","0,0","0,0","2,50","20,9",17:10:00,206,"86,48",97,01:20:00,57,14:05:00,"1037,8","1041,8",23:45:00,"1034,5",00:10:00,,,,"0,00"
09/01/15,9,"7,60","16,1",13:10:00,"1,6",08:50:00,N/A,N/A,N/A,N/A,N/A,"10,70","0,0","0,2","2,00","20,9",17:30:00,208,"81,68",97,02:50:00,53,14:00:00,"1041,7","1043,4",10:50:00,"1039,8",00:00:00,,,,"0,00"
10/01/15,10,"11,10","23,8",14:50:00,"5,1",02:40:00,N/A,N/A,N/A,N/A,N/A,"7,30","0,0","0,0","1,00","20,9",16:50:00,214,"60,47",85,00:30:00,26,14:40:00,"1033,6","1039,8",00:05:00,"1028,5",00:00:00,,,,"1,07"
11/01/15,11,"11,20","19,1",13:20:00,"4,6",05:00:00,N/A,N/A,N/A,N/A,N/A,"7,10","0,0","0,0","3,80","40,2",14:55:00,353,"55,45",76,22:20:00,42,14:55:00,1030,"1035,6",23:50:00,"1027,3",05:10:00,,,,"1,19"
12/01/15,12,"9,10","16,3",14:35:00,"2,6",08:55:00,N/A,N/A,N/A,N/A,N/A,"9,20","0,0","0,0","5,10","30,6",19:10:00,200,"82,35",94,23:45:00,54,14:50:00,"1034,3","1036,8",10:25:00,"1030,6",00:00:00,,,,"0,00"
13/01/15,13,"10,70","17,1",15:05:00,"5,4",22:35:00,N/A,N/A,N/A,N/A,N/A,"7,60","0,0","0,0","3,10","27,4",13:10:00,213,"81,99",97,01:20:00,51,14:35:00,1027,"1030,6",00:05:00,"1024,3",15:05:00,,,,"0,71"
14/01/15,14,"9,10","16,8",12:55:00,"4,2",08:25:00,N/A,N/A,N/A,N/A,N/A,"9,20","0,0","0,0","1,80","19,3",15:05:00,185,"72,78",95,00:55:00,44,14:55:00,"1026,3","1028,5",11:00:00,"1025,1",01:40:00,,,,"0,00"
15/01/15,15,"9,60","17,7",16:05:00,"2,6",07:45:00,N/A,N/A,N/A,N/A,N/A,"8,80","0,0","0,0","2,50","20,9",12:25:00,211,"70,40",95,07:20:00,45,16:55:00,"1019,3","1026,3",00:10:00,"1013,7",00:00:00,,,,"0,00"
16/01/15,16,"11,50","14,4",15:55:00,"6,1",23:55:00,N/A,N/A,N/A,N/A,N/A,"6,80","0,0","0,0","4,70","40,2",16:05:00,248,"54,73",72,07:20:00,33,15:55:00,"1012,7","1018,8",23:55:00,"1009,4",09:25:00,,,,"1,55"
17/01/15,17,"5,90","12,4",15:20:00,"0,9",23:45:00,N/A,N/A,N/A,N/A,N/A,"12,40","0,0","0,0","3,60","35,4",11:05:00,316,"61,55",86,23:55:00,34,16:00:00,"1021,6","1022,8",11:00:00,"1018,5",00:10:00,,,,"0,00"
18/01/15,18,"4,90","9,9",12:35:00,"-1,6",08:20:00,N/A,N/A,N/A,N/A,N/A,"13,50","0,0","0,2","2,40","22,5",12:20:00,204,"67,34",88,23:50:00,39,11:45:00,"1016,4","1022,4",00:05:00,"1009,6",00:00:00,,,,"0,00"
19/01/15,19,"6,50","8,8",14:35:00,"4,7",05:05:00,N/A,N/A,N/A,N/A,N/A,"11,80","0,0","2,0","10,00","48,3",15:40:00,342,"73,75",95,04:00:00,46,23:45:00,"1009,7","1012,3",00:00:00,"1007,6",04:55:00,,,,"0,00"
20/01/15,20,"5,70","9,2",15:20:00,"1,5",09:05:00,N/A,N/A,N/A,N/A,N/A,"12,70","0,0","0,0","4,00","35,4",03:25:00,320,"55,76",78,23:35:00,41,12:15:00,"1010,2","1012,3",00:05:00,"1008,6",15:45:00,,,,"0,00"
21/01/15,21,"5,70","11,9",14:55:00,"0,4",02:15:00,N/A,N/A,N/A,N/A,N/A,"12,70","0,0","0,0","2,10","20,9",13:30:00,212,"67,87",84,02:20:00,43,15:30:00,"1008,5","1010,7",00:05:00,"1006,4",15:25:00,,,,"0,00"
22/01/15,22,"7,10","10,9",15:25:00,"1,2",04:20:00,N/A,N/A,N/A,N/A,N/A,"11,20","0,0","0,0","7,50","41,8",20:35:00,341,"57,40",78,04:25:00,45,15:25:00,"1011,5","1017,0",23:40:00,"1007,7",01:55:00,,,,"0,00"
23/01/15,23,"8,70","12,1",15:45:00,"6,6",08:35:00,N/A,N/A,N/A,N/A,N/A,"9,60","0,0","0,0","14,50","54,7",05:50:00,328,"42,99",54,00:15:00,34,16:40:00,1019,"1021,7",21:00:00,"1016,2",05:45:00,,,,"0,00"
24/01/15,24,"10,40","15,1",15:50:00,"6,2",08:30:00,N/A,N/A,N/A,N/A,N/A,"7,90","0,0","0,0","14,10","62,8",21:05:00,327,"39,05",53,08:30:00,19,16:40:00,"1022,6","1025,0",12:25:00,"1021,3",02:15:00,,,,"0,40"
25/01/15,25,"11,10","14,8",15:55:00,"8,1",06:35:00,N/A,N/A,N/A,N/A,N/A,"7,30","0,0","0,0","15,50","75,6",03:10:00,346,"27,59",39,00:25:00,20,13:35:00,"1023,3","1026,0",23:55:00,"1019,1",03:00:00,,,,"1,06"
26/01/15,26,"7,20","12,4",14:10:00,"1,6",07:15:00,N/A,N/A,N/A,N/A,N/A,"11,10","0,0","0,0","2,90","24,1",15:40:00,200,"53,42",79,23:30:00,32,00:05:00,1027,"1028,8",23:35:00,"1025,7",05:10:00,,,,"0,00"
27/01/15,27,"10,50","16,4",14:50:00,"3,3",01:20:00,N/A,N/A,N/A,N/A,N/A,"7,80","0,0","0,0","11,50","53,1",19:40:00,336,"57,08",80,02:05:00,35,14:50:00,"1024,9","1028,8",00:55:00,"1021,6",17:40:00,,,,"0,53"
28/01/15,28,"10,00","13,7",15:30:00,"6,4",00:00:00,N/A,N/A,N/A,N/A,N/A,"8,30","0,0","0,0","9,00","43,5",01:00:00,307,"58,30",82,22:30:00,42,12:00:00,"1022,7","1024,7",10:45:00,"1020,3",00:00:00,,,,"0,04"
29/01/15,29,"12,80","18,3",22:40:00,"4,1",03:00:00,N/A,N/A,N/A,N/A,N/A,"5,50","0,0","0,0","5,20","33,8",14:20:00,220,"55,90",85,03:10:00,34,14:05:00,"1010,5","1020,2",00:10:00,"999,7",00:00:00,,,,"2,80"
30/01/15,30,"16,90","19,8",14:15:00,"13,1",18:25:00,N/A,N/A,N/A,N/A,N/A,"1,40","0,0","0,0","8,70","56,3",08:15:00,262,"54,39",79,18:15:00,42,04:15:00,"996,5","999,9",00:05:00,"992,3",23:45:00,,,,"6,89"
31/01/15,31,"10,90","13,9",00:05:00,"7,6",23:45:00,N/A,N/A,N/A,N/A,N/A,"7,40","0,0","1,0","8,90","57,9",08:50:00,312,"54,46",86,03:30:00,32,14:00:00,"994,9","1002,9",23:40:00,"989,5",04:50:00,,,,"0,93"
01/02/15,32,"8,20","10,6",14:15:00,"6,6",07:15:00,N/A,N/A,N/A,N/A,N/A,"10,10","0,0","0,0","9,90","45,1",06:25:00,313,"41,44",53,22:50:00,30,14:35:00,"1008,6","1013,6",23:45:00,"1002,8",00:05:00,,,,"0,00"
02/02/15,33,"8,30","13,4",15:30:00,"4,1",04:55:00,N/A,N/A,N/A,N/A,N/A,"10,00","0,0","0,0","4,50","22,5",15:15:00,217,"54,30",73,23:20:00,36,15:45:00,"1009,8","1013,7",02:00:00,"1002,5",00:00:00,,,,"0,00"
03/02/15,34,"9,10","12,9",17:00:00,"5,3",00:00:00,N/A,N/A,N/A,N/A,N/A,"9,20","0,0","1,6","6,40","46,7",13:35:00,303,"53,30",90,00:00:00,27,15:15:00,"1000,2","1002,5",00:05:00,"997,3",00:00:00,,,,"0,00"
04/02/15,35,"4,30","7,3",15:25:00,"0,8",10:10:00,N/A,N/A,N/A,N/A,N/A,"14,10","0,0","0,6","13,40","69,2",18:55:00,340,"62,67",95,02:50:00,35,15:25:00,"999,9","1004,1",21:45:00,"996,1",02:30:00,,,,"0,00"
05/02/15,36,"5,00","7,9",16:10:00,"3,0",00:05:00,N/A,N/A,N/A,N/A,N/A,"13,40","0,0","0,0","21,00","69,2",21:00:00,334,"35,43",53,01:00:00,23,21:30:00,"1005,5","1009,0",23:30:00,"1002,4",03:50:00,,,,"0,00"
06/02/15,37,"3,60","7,2",15:20:00,"1,4",07:20:00,N/A,N/A,N/A,N/A,N/A,"14,70","0,0","0,0","12,80","64,4",00:05:00,337,"40,01",66,23:35:00,27,00:05:00,"1009,8","1014,0",00:00:00,"1007,7",04:05:00,,,,"0,00"
07/02/15,38,"3,40","6,7",16:35:00,"-0,1",22:15:00,N/A,N/A,N/A,N/A,N/A,"14,90","0,0","0,0","2,50","19,3",09:30:00,348,"63,72",81,21:45:00,48,12:25:00,"1018,6","1023,7",00:00:00,"1014,1",00:20:00,,,,"0,00"
08/02/15,39,"5,40","11,7",14:40:00,"-0,8",07:05:00,N/A,N/A,N/A,N/A,N/A,"12,90","0,0","0,0","2,80","20,9",15:20:00,242,"57,49",74,07:00:00,41,13:35:00,"1021,6","1023,9",03:00:00,"1018,6",17:20:00,,,,"0,00"
09/02/15,40,"3,80","10,2",12:45:00,"-1,3",08:00:00,N/A,N/A,N/A,N/A,N/A,"14,50","0,0","0,0","2,10","24,1",14:05:00,63,"69,14",91,23:05:00,47,16:20:00,"1026,3","1028,8",12:00:00,"1021,1",00:05:00,,,,"0,00"
10/02/15,41,"4,90","12,7",12:55:00,"-1,1",07:45:00,N/A,N/A,N/A,N/A,N/A,"13,40","0,0","0,0","2,20","24,1",15:25:00,162,"73,73",90,23:25:00,45,13:05:00,"1026,3","1028,4",00:05:00,"1024,6",17:15:00,,,,"0,00"
11/02/15,42,"6,10","11,6",14:50:00,"2,4",03:15:00,N/A,N/A,N/A,N/A,N/A,"12,30","0,0","0,0","1,40","16,1",14:20:00,64,"81,20",96,23:50:00,69,11:45:00,"1023,7","1025,0",10:15:00,"1022,1",17:10:00,,,,"0,00"
12/02/15,43,"7,10","11,0",16:10:00,"3,1",00:20:00,N/A,N/A,N/A,N/A,N/A,"11,30","0,0","0,0","1,10","12,9",14:40:00,288,"88,18",97,01:55:00,63,15:25:00,"1022,3","1023,7",23:05:00,"1020,6",05:35:00,,,,"0,00"
13/02/15,44,"9,20","15,2",13:20:00,"4,3",23:50:00,N/A,N/A,N/A,N/A,N/A,"9,20","0,0","0,0","2,50","20,9",16:50:00,201,"77,99",96,05:10:00,46,13:50:00,"1021,3","1023,3",00:05:00,"1019,1",00:00:00,,,,"0,00"
14/02/15,45,"7,90","14,6",17:05:00,"1,7",07:35:00,N/A,N/A,N/A,N/A,N/A,"10,40","0,0","0,0","0,60","12,9",18:00:00,239,"74,27",91,08:05:00,50,17:05:00,"1015,9","1019,1",00:10:00,"1013,2",23:50:00,,,,"0,00"
15/02/15,46,"11,20","18,5",15:15:00,"4,6",07:30:00,N/A,N/A,N/A,N/A,N/A,"7,20","0,0","0,0","1,80","24,1",14:35:00,269,"69,65",89,07:40:00,44,13:35:00,"1011,1","1014,9",23:25:00,"1009,2",06:30:00,,,,"1,16"
16/02/15,47,"10,80","16,8",14:35:00,"5,3",06:00:00,N/A,N/A,N/A,N/A,N/A,"7,60","0,0","0,0","5,60","45,1",11:35:00,331,"61,40",82,00:50:00,34,14:20:00,"1017,5","1020,4",23:55:00,"1014,8",00:05:00,,,,"0,78"
17/02/15,48,"10,20","12,6",15:50:00,"7,7",02:50:00,N/A,N/A,N/A,N/A,N/A,"8,10","0,0","2,8","10,00","43,5",15:35:00,7,"66,35",90,01:00:00,52,15:40:00,"1025,3","1031,5",23:35:00,"1019,4",04:30:00,,,,"0,23"
